question_id,user,date,answer,votes
2,Paul M,Yesterday,"Hi, there is a part of town less than 10 minute walk known as Partyopolis which is alive with clubs bars and music until the early hours! x",0
3,wkim412,Jul 7,"I never tried that, but you can call hotel to ask. Asian teppanyaki and other $75 extra for each person restaurant( I did not try) you have to make a reservation. Other restaurants you will be free to go without reserving. BUT asian restaurant you still can go if you don't sit for teppanyaki. ( I was very disappointed this restaurant food though...too salty and not salty enough... other restaurants were good) have fun!!!",0
4,Greg,Jul 6,"Yes - room service is included and they have hours for breakfast, lunch, and dinner menus - then an after hours menu for late night snacks - the cheeseburger was amazing one late night!!!",0
4,John L,Jul 6,Yes. Plus you can call the night before and have them deliver breakfast at a specific time,0
5,Darlita1959,Jul 6,I think in the Past you could but i believe they have stopped that. Also Great place to have a Wedding we had friends do one last month. Check out the pic of weddings on the Zilara facebook.,0
6,pstmstr,Jun 2022,"Q&As are more often than not answered by ""travelers"", it's not the resorts site. I'd suggest contacting the resort through their FB business page, email or by telephone",0
7,Summer2019,Jul 7,Book spa ahead of time,0
10,pstmstr,Jun 2022,"You can buy packages/bundles that include this resort. Whatever site you are using, just look for the option of package/bundle/flight&hotel.",0
10,NorthStar45540956893,Jun 2022,"No, it included food, drinks and your room",0
10,Kelsey M,Jun 2022,no,0
10,Tour38128885508,May 2022,Mine did not,0
11,richard r,Jun 2022,Beach cabanas are first come first serve. Certain cabanas close to the pool have a surcharge.,0
11,John B,Jun 2022,When is our first come first served at when we were there in March there was not a problem finding an empty one. Just get there early,0
11,NorthStar45540956893,Jun 2022,"We were there in May in an Oceanfront King suite. They didn't say it was included, though when we were there, there was not a problem getting a beach cabana and we were usually able to secure an ""unpaid for"" pool cabana..... otherwise you can book a cabana for like $34",0
11,travelfun044,Jun 2022,"So, we were there the first week of June 2022. I walked the beach to check this because there were so many mixed comments. The highest level room does, I think Presidential. Swim ups used to. Some of the cabanas are still marked with a swim up room number, I think they just haven't taken all the numbers down. That being said, we NEVER had an issue finding a beach cabana.",0
11,JD W,Jun 2022,"Hi, To the best of my knowledge, OF Luxury Suites include a beach cabana. We have never used ours but have gone down for a beach walk and found our room # on ours. If your not sure, just ask the concierge. They help with EVERYTHING.",0
12,Amanda H,Jun 2022,We were there last week and the foam party was on Friday- so much fun!,0
13,NorthStar45540956893,Jun 2022,We booked an Ocean FRONT king suite and our view was directly at the beautiful ocean. We stayed on the 6th floor and the room had a double hot tub jacuzzi we utilized almost every night too. I recommend leaving the curtains open to enjoy the view and stars from your tub!,1
14,R S,May 2022,It was fine at Hyatt Zilara on 28/29 April 2022. I was able to be on the beach and swim in sea there. It’s more of a problem further south in Playa del Carmen.,1
15,Keith B,May 2022,"Let me preface by stating that collecting and drinking wine is my primary hobby, so I had to alter my expectations going into the trip. We stayed last week - drank mostly the house Sauvignon Blanc - nothing special, maybe a touch sweet instead of more acidic. Only other one I tried was a carmenere, which I only tried once as I didn't care for it. The markups on the wines were astronomical - I understand there are VAT, etc., but even for something mediocre like Prisoner, it was $6,800mx. At restaurants around here it's like $80USD, not $340USD.",1
15,Susie S,May 2022,"My husband and I felt like the house wines weren’t bad and were comparable to many house wines in the states. We both drink Cabernets and Chardonnays, so I cannot say anything about Pinot Grigio or White Zinfandel.",1
15,Kelly G,May 2022,"Hey have Not improved, the house wines or otherwise. See my recentvreview. :)",0
