id,hotel_name,user,city,date,contrib,help_votes,question
2,Hyatt Zilara Cancun,LovelyLady78,Maryland,Jul 9,14,27,Is there any nightclubs or dancing on this resorts ? I'm a night owl who loves to dance
3,Hyatt Zilara Cancun,EastCoastGirl4792,,Jul 6,,,Hello!! My 3 friends and I are traveling to Zilara at the end of July to celebrate our 30th birthdays. I have been trying to plan ahead as much as possible (for convenience once we arrive) and am wondering if there is a way to make reservations for dinner before we arrive? Is it even necessary? I can’t seem to find a place on the website to do so! Please let me know your thoughts!!
4,Hyatt Zilara Cancun,vasquezjennifer21,"Bell, California",Jul 5,1,,Is the 24 hour room service included as part of the all inclusive?
5,Hyatt Zilara Cancun,Scenic296863,,Jul 3,,,Hi I’m planning to have a wedding at Hyatt Zilara.I have heard you can go to the restaurants at Hyatt Ziva if you’re staying at the Hyatt Zilara Is it the the same with the wedding venues? I like the ones at Hyatt Ziva better.Thank you
6,Hyatt Zilara Cancun,KristynaBell,"Fairborn, Ohio",Jun 2022,6,1,"Hi, I have a service dog. Could you please provide needed documents for me to present at your hotel? Thank you."
7,Hyatt Zilara Cancun,Vacation601795,"Playa del Carmen, Mexico",Jun 2022,3,,"Hi, would you like to know about this accommodation. Roberto, from Spice was the absolute best!!! Hotel Zilara is the spot to book to book! ROBERTO!!! F * he was the best!!!"
8,Hyatt Zilara Cancun,jenna v,,Jun 2022,,,Planning on staying sept 15th-18th. Can anyone tell me what free events will the hotel offer apart from shows and the obvious cabanas/food
9,Hyatt Zilara Cancun,Jen O,"Philadelphia, Pennsylvania",Jun 2022,1,,Are the fitness classes included or do you have to pay extra?
10,Hyatt Zilara Cancun,Youngchan Y,,May 2022,,,Is this package includes a flight ticket?
11,Hyatt Zilara Cancun,Marci s,,May 2022,,,"When booking at the Hyatt at Zilara, what rooms include a beach cabana? We are looking to stay in the Ocean Front luxury king suite. Thanks!"
12,Hyatt Zilara Cancun,YEJIN KIM,"Seoul, South Korea",May 2022,,,"Is there still a foam party (if so, which day?)"
