question_id,user,date,answer,votes
2,Christian B,Jun 2022,Breakfast was off their menu and excellent. Sat outside in a great people watching location!,0
2,John B,Jun 2022,"For us it was just a comped breakfast off their breakfast menu, which was pretty good!",0
3,jazzjee,Oct 2021,"Rooftop pool pretty but small. Not a lot of chairs. There is a bar on the roof , but I do not believe they serve you. Beachfront service includes towels and chairs and Umbrellas. There is a small shack that has snacks and drinks , but I do not recall adult drinks.",1
4,The Betsy Hotel,Mar 2021,Dear Colleen our Classic Suites (and indeed all of our suites except the Penthouse) do have pull out sofa beds which our team will happily prepare for you and your guests. It would be our pleasure to walk you through our room options and answer any questions you might have. Please feel free to reach out to us directly.,0
5,The Betsy Hotel,Aug 2020,"Dear Stacy, the hotel is currently closed until October 30, 2020. We will reevaluate our pool procedures according to CDC safety standards but generally we do have day passes for the pool.",1
6,The Betsy Hotel,May 2020,"Our reservations team has sent an email that was provided to us. Kindly, The Reservations Team",0
6,The Betsy Hotel,May 2020,"My sincere apologies that you have not heard back from us. What phone number have you been calling / what email have you been contacting? Please reach out to me directly at 917-572-7042 and I will get to the bottom of your issue as soon as possible. Sincerely, Zach Plutzik Managing Director",0
6,Retired_Gentleman,May 2020,Write them a letter.,0
6,Daytrip,May 2020,"Zach, I tried calling, but the mailbox was full.",0
7,The Betsy Hotel,Feb 2020,"Hello Shirley, All are welcome to enjoy! Please let us know if you would like further information.",0
8,The Betsy Hotel,Feb 2020,"Hello Achammah, Yes loungers and chairs are included with the resort fee. Please let us know if you have further questions. The Betsy",0
9,umbc24,Apr 2019,"The room was very nice, new and clean",0
9,brendan m,Apr 2019,not sure when but everything very new and modern,0
9,lbmiller104,Apr 2019,"The hotel bought and connected the building next to them. It is complete, modern, has a beautiful rooftop pool and library.",0
9,Gary C,Apr 2019,Our room was clean and modern.,0
9,Kem B,Apr 2019,The Art Deco wing on Collins is fairly new & modern. I don’t know when/if the ocean Ave building was renovated. I recommend you call the Betsy & ask.,0
9,Mburg,Apr 2019,"We stayed in the Art Deco wing. The room was a tad small, but definitely up to date.",0
9,Yerbury M,Apr 2019,Not sure but the room we had was fairly modern.,0
10,tinaday1114,Jun 2019,"The amount of seaweed depends on the season/month you are visiting, since it washes in from elsewhere. There was a lot of seaweed in the water and on the ocean floor (we were there in June) but not much at all on the sand.",0
11,Sndr23,Jun 2018,"Hi, Yes we were staying in the newer part, which room-wise looked like it belonged to the main building. Style wise it is contemporary, colonial style. i liked it al lot, but it is not your clean bright white modern hotel like the SLS.. but then again, prices of those hotels are lot higher also.. Hope I could help. Sander",2
11,Roberta C,Jan 2020,"Yes - there are two wings in the Betsy. I only saw one wing, however.",0
11,Burton B,Jul 2019,"You cannot go wrong with either room choice in either building. Both buildings are old, Deco Wing has been more recently renovated but the original Betsy Building on Ocean Drive cannot be beat.",0
11,theniclangille,Jun 2018,"There is a newer side, and the rooms are quite lovely, we had an outside terrace which could have used some sprucing up. And there are lots of hard edges on the furniture inside so we move md things around a bit to create some more space and avoid banged knees! Staff are amazing at this hotel and the food is terrific. Great cocktails too. My favourite was the Hemingway Daiquiri. We’ve stayed many places in South Beach and the Betsy is one of my favourites so far!",-1
11,mertrip13,Jun 2018,Having read through the posts I think I have some questions answered but would appreciate a weigh in on the room types & differences.,-1
12,MyFavouriteThings,Mar 2018,I would be amazed if they didn’t,1
12,flowers085,Apr 2019,To my knowledge there is no topless sun bathing.,0
12,WDWJr,Mar 2018,Not that I was aware of... but they actually have two separate pools areas... so it would be a perfect set up to allow it... As Someone else noted.... Regardless.... The Betsy is a Jewel.... Lovely Property with Exceptional Staff... Truly Exceptional Staff....!!! You will not be disappointed....,0
