id,hotel_name,user,city,date,contrib,help_votes,question
2,The Betsy South Beach,Randaj,,Jun 2022,28,11,"We have booked for September and have breakfast included in the package, does anyone know what the breakfast offer includes? Do we get to eat from the hotel breakfast menu or is it something different?"
3,The Betsy South Beach,Allison D,"Atlanta, Georgia",Oct 2021,19,,Considering booking The Betsy for an anniversary celebration with my husband. The pools look very small in the photos - are they nice? Any issues finding chairs? Are there servers at the pool? Is free beach set up included and are there servers on the beach? Thanks!
4,The Betsy South Beach,Colleen B,,Feb 2021,3,,Does the Classic King Suite have a pull out sofa bed?
5,The Betsy South Beach,Stacy L,"Bonaire, Georgia",Jun 2020,5,,Do you allow daily rental of your pool if you aren’t staying at your hotel?
6,The Betsy South Beach,Daytrip,,May 2020,,,"Hi, I would like to cancel a reservation, but no one is answering my calls or e-mails. Any idea on how I should proceed? Thanks!"
7,The Betsy South Beach,Shirley L,"West Falls Church, Virginia",Feb 2020,7,2,Interested in their Sunday jazz brunch is during February and March 2020
8,The Betsy South Beach,Achammah,,Feb 2020,2,6,Are loungers or chairs on the beach part included in the resort fee?
9,The Betsy South Beach,Rob C,"Pompano Beach, Florida",Apr 2019,4,,Last renovation?
10,The Betsy South Beach,JEREMY AND AMAN... S,"Beaufort, South Carolina",Aug 2018,29,15,Does anyone know how bad the seaweed is at the beach in front of The Betsy?
11,The Betsy South Beach,mertrip13,"Houston, Texas",Jun 2018,20,4,"Is there two parts of the Betsy and is the decore different? I read somewhere another hotel was linked to expand the Betsy. It appears there is a tradition and a more contemporary unless some of the pix's we are seeing are old & new. What is your pick for the best area in the hotel to stay. Looking for light, bright & happy room with a cozy traditional beach vibe? What is your room preference and why?"
12,The Betsy South Beach,Jill A,"Chicago, Illinois",Mar 2018,,,Does the hotel allow European (e.g. top free) sunbathing at the pool area?
13,The Betsy South Beach,Victor,Leiden,Feb 2018,1,,"Hi, is it possible to get guaranty on a room with two double beds in stead of one queen size bed?"
14,The Betsy South Beach,Yoko E,,Jan 2018,94,21,How much is the resort fee
15,The Betsy South Beach,Yoko E,,Jan 2018,94,21,How much is the resort fee
16,The Betsy South Beach,Judith F,"London, United Kingdom",Dec 2017,22,4,I am confused about the two parts of the hotel. Is it the deco part which is new or the colonial part and which is better to stay in?
17,The Betsy South Beach,Judith F,"London, United Kingdom",Dec 2017,22,4,How much is self parking per night?
18,The Betsy South Beach,David R,"East Ayrshire, United Kingdom",Sep 2017,267,111,"I am looking for some room information, I have been advised that the older part of the hotel had bigger rooms, is this correct? If anyone can also advise of best rooms for great views? Thanks All. David"
