hotel_name,location,wrote,rating,title,comment
Hyatt Centric Montevideo,"San Jose de Mayo, Uruguay",June 2022,5,Habitación súper cómoda!,Muy bien ubicado. Excelente gusto y confort de las instalaciones incluyendo buena iluminación natural.Gimnasio completo. Personal atento y amable. Cuenta con restaurante con excelente servicio y calidad .
Hyatt Centric Montevideo,"San Jose de Mayo, Uruguay",May 2022,3,Mucho por mejorar,"Buena infraestructura. Hotel nuevo. Mediocre servicio en restaurant, poca variedad, lento y falta de personal. Camareros sin capacitación, no conocían ni carta ni valores de menu. Mal internet, microcortes constantes, no esperable para el nivel de publico al que apuntan. Se cobran 10 USD por servicio a habitación, y también es lento. Piscina, gimnasio y espacios comunes correctos."
Hyatt Centric Montevideo,"San Jose de Mayo, Uruguay",May 2022,5,Experiencia 10,"Hotel muy acogedor, servicio excelente y personal muy atento. Habitación en perfecto estado y con todo detalle. Reposición diaria de agua y amenities también las repongan tan pronto como se acababan. Volveré"
Hyatt Centric Montevideo,"San Jose de Mayo, Uruguay",May 2022,5,EXCELENTE HOTEL COSTO BENEFICIO,"Atención excelente, servicio de primera y una relación costo beneficio ideal. Nada reprochable Volvería y recomendaría sin lugar a dudas . La ubicación es de las mejores. Vista desde la habitación inmejorable."
Hyatt Centric Montevideo,"San Jose de Mayo, Uruguay",May 2022,3,Poco para un 4 estrellas. Pero insuficiente para Hyatt standards,"Podria mejorar para ser un 4 estrellas. Pero tiene que mejorar mucho para ser un Hyatt. Me hospede en la Suite Centric, de mas de 60 m2, al margen de que la calefacción no funcionaba (fue reportado) y en el menu de almohadas fie requerida una cervical y me trajeron la misma (poca atención), los amenities del baño son de poca calidad, y el secador de cabello pésimo, incomprensible cómo ofrecen ésto a los huéspedes. El desayuno no es lo esperable, no hay salmón ahumado y algo que me parece una norma de higiene, que no se cumple, es que en las “open kitchen” todo el personal debería usar barbijo, obligatoriamente, vi toser gente del HOTEL arriba de lo que estaba preparando. La máscara acá la usan como un accesorio de moda. Aclaro que es un hotel con muy buena gastronomía y el"
Hyatt Centric Montevideo,"San Jose de Mayo, Uruguay",April 2022,5,Un paraíso,"Excelente todo, desde la bienvenida, la amabilidad del personal. Las instalaciones impecables, el desayuno delicioso.el restaurante plantado del hotel excelente también. La piscina hermosa y todo muy aprovechable. Recomendamos 100%"
Hyatt Centric Montevideo,"San Jose de Mayo, Uruguay",April 2022,1,"Pésima atención , estafa !","Me tenían que cobrar 8.250 pesos uruguayos , me cobraron 8.250 dólares !! En lugar de anular la compra hicieron nota de crédito que demora 10 días y me entro en el siguiente resumen. Adicionalmente al revisar el importe me cobraron y facturaron una botella de vino a la habitación que jamás pedí"
Hyatt Centric Montevideo,"San Jose de Mayo, Uruguay",April 2022,5,Excelente experiencia!!!,"Buena ubicación, tiene alrededor varios restaurantes y lugares de interés. Habitaciones en buen estado y excelente atención al cliente. Tiene un Bar, un café y un restaurante que puedes degustar una variedad de opciones para comer y tomar, este hotel lo recomiendo 100%."
Hyatt Centric Montevideo,"San Jose de Mayo, Uruguay",April 2022,5,Excellent,"5 estrellas, desde que ingresamos al hotel, hasta el ultimo minuto la gente del hotel fue amable y servicial en todo momento. La comida deliciosa y el buffet abundante. Realmente si pudieramos repetir este viaje lo hariamos todos los dias!"
Hyatt Centric Montevideo,"San Jose de Mayo, Uruguay",April 2022,5,Excelente,"Divino el hotel hotel !!! y la atención muy muy cordial y amable ! Limpieza bien gusta hermosa decoración, habitaciones amplias e impecables por donde se lo mire. El gimnasio muy lindo me falto conocer la pileta. El desayuno súper completo y el lugar muy amplio"
Hyatt Centric Montevideo,"Buenos Aires, Argentina",March 2022,4,Variedad en los desayunos,"Para personas que estamos varios días por temas de trabajo, el encontrar poca variedad en los desayunos no es muy grato, el café sensacional, pero en lo que se ofrece como desayuno si es bueno tengan una amplia variedad"
Hyatt Centric Montevideo,"Buenos Aires, Argentina",April 2022,5,Excelente.,"Muy bien ubicado, excelente atencion y los cuartos muy comodos. Lamentablemente por trabajo estuve poco en el hotel, espero la próxima poder disfrutar más. El desayuno está bueno me hubiese gustado más opciones para los huevos."
Hyatt Centric Montevideo,"Buenos Aires, Argentina",March 2022,4,Muy bueno,"Ambiente agradable, desayunos excelentes, cocteles y bebidas en general buenos, personal del hotel agradables y con muy buena.predisposición para ayudar y guiarte por consultas sobre la ciudad. Excelente ubicacion."
Hyatt Centric Montevideo,"Buenos Aires, Argentina",March 2022,5,Más de lo que esperaba,Excelente en todo sentido a excepción de los ambientes para desayunar que se encontraban muy cerrados sin ventilación de ningún tipo. Todo funcionaba a la perfección y debo destacar la amabilidad del personal tanto de Marcia en recepción como del servicio a las habitaciones todo excelente. Sin duda volveremos. La ubicación es excepcional a metros del Montevideo shopping y la habitación excelente con vista al rio.
Hyatt Centric Montevideo,"Buenos Aires, Argentina",March 2022,5,Excelente,"Muy lindo hotel, el personal muy amable. El desayuno muy completo y los lugares tanto para comer como el bar muy buenos, la comida riquísima. Las habitaciones silenciosas y la vista a la rambla espectacular"
Hyatt Centric Montevideo,"Buenos Aires, Argentina",March 2022,5,"Excelente Hotel, servicio impecable y localización perfecta",Por primera vez me alojé en el Hyatt de Montevideo. Fue una experiencia estupenda. El servicio y calidad de las instalaciones excepcionales. Sin duda la próxima vez que viaje a Montevideo me quedaré en el Hyat Centric.
Hyatt Centric Montevideo,"Buenos Aires, Argentina",March 2022,5,Hotel Hyatt Centric...una excelente opción!,"Una estancia corta se convirtió en una experiencia única. Solo dos días y gracias a la organización de los que me invitaron y la Excelencia del servicio en el Hotel, hicieron que me enamorara definitivamente de la Ciudad más austral de América."
Hyatt Centric Montevideo,"Buenos Aires, Argentina",March 2022,5,Hotel muy acogedor,"Gran hotel, acogedor y funcional. Decoración muy cuidada. Habitación amplia y con mucho gusto. Personal muy amable y colaborador. Gimnasio correcto y funcional. Ubicación cómoda. Gran sorpresa, muy recomendable."
Hyatt Centric Montevideo,"Buenos Aires, Argentina",March 2022,5,Excelente atencion,"10 puntos en atencion y comodidad, nos alojamos y quien nos recibió nos recomendó q hacer y donde ir, lastima q no se el nombre … al retirarnos Agustin muy bien también … muchas gracias … por los consejos… restaurante y amenities excelente!"
Hyatt Centric Montevideo,"Buenos Aires, Argentina",March 2022,4,Hotel muy moderno y confortable,"El hotel cuenta con todas las comodidas para una gran estadía, una vista maravillosa a Pocitos, y una atención destacada de todo el personal. El café del frente tiene una gran variedad, incluso para veganos"
Hyatt Centric Montevideo,"Pan de Azucar, Uruguay",February 2022,4,una cama de nubes !,"La suite esta hermosa con vista al rio y la playa de Pocitos. Me encanto el design del hall. No fue muy claro las indicaciones para los ascensores hasta el parking, muchas puertas distintas y ninguno cartel."
Hyatt Centric Montevideo,"Pan de Azucar, Uruguay",March 2022,5,Una maravilla de equipo y de hotel,"una maravilla. por la noche, era viernes, en la planta 2, se oía un poco la música de afuera. el resto genial. el desayuno muy completo y llenk de frutas, zumos y opciones calientes. la habitacion mu limpia, no demasiado bien aconfivionada para verano, pero al babo de 10 minutos estaba perfdcta..."
Hyatt Centric Montevideo,"Pan de Azucar, Uruguay",February 2022,5,Excelente,"Todo perfecto y más recibí dos atenciones con motivo de mi 80 cumpleaños que fuimos a festejar con la familia para estar todos juntos, la única observación las bebidas calientes no llegaban a la mesas a esa temperatura. tampoco las que nos podíamos servir en el desayuno, el café, leche, agua nada estaba caliente"
Hyatt Centric Montevideo,"Pan de Azucar, Uruguay",February 2022,5,Trato y desayuno excelentes.,"Check-in rápido. Ubicación excelente en Pocitos, sobre la Rambla. Habitaciones confortables. Cama, ropa de cama y almohadas súper confortables. Desayuno excelente. Desayuno para llevar por salida muy tempranera reservada en la noche anterior de excelente tamaño y calidad. Trato muy acorde al Mundo Hyatt. Totalmente recomendable en ese rango de precios. Gracias Hyatt por la excelente estadía."
Hyatt Centric Montevideo,"Pan de Azucar, Uruguay",February 2022,5,Acorde al prestigio conocido,La ubicacion del hotel es excelente y en el desayuno lamentablemente el covid hace que no sea del todo agradable ya que el cafe debes sutoservirte cuando por la calidad del Hotel deberia tener una persona para servir
Hyatt Centric Montevideo,"Pan de Azucar, Uruguay",January 2022,5,Excelente estadía,"Nos quedamos solo una noche pero pasamos un excelente estadía, el hotel está muy bien ubicado tiene de todo en cercanías, shopping, super, etc, el personal es súper amable y servicial, las habitaciones son grandes, cómodas y súper limpias y el desayuno es impresionante, me encantó.."
Hyatt Centric Montevideo,"Pan de Azucar, Uruguay",December 2021,5,Fin de año soñado,"Fuimos a recibir el año nuevo 2022 a este maravilloso hotel y la verdad es que fueron cinco días encantadores. La cena de fin de año en el ballroom fué de alta calidad tanto en comida como en bebidas. El brindis en el rooftop con una vista excepcional y canilla libre. La playa de Pocitos preciosa y limpia, la gente en general educada y amable."
Hyatt Centric Montevideo,"Pan de Azucar, Uruguay",December 2021,5,Excelente estadía en Montevidep,"Hotel funcional, cómodo y amigable; los empleados cálidos y eficientes; las comidas, excelentes. Limpieza siempre, protocolos impecables. Aspectos a mejorar: ofrecer valte parking y una carta de vinos acorde con el nivel del restaurante."
Hyatt Centric Montevideo,"Pan de Azucar, Uruguay",December 2021,3,Normal,"Buena en general, especialmente el servicio del Front Desk y el restaurant, en el servicio de desayuno y cena. Todos los empleados son muy amables y educados y ayudan al huésped en todo lo que este requiere,,,,"
Hyatt Centric Montevideo,"Pan de Azucar, Uruguay",December 2021,5,Gran vista a la bahia de pocitos!!! excelente atencion.,"Vamos a volver, porque la pasamos espectacular. la zona es un 10. la atencion tambien. el desayuno y el bar excelentes. la piscina tambien. la vista de la hab 712 es espectacular. quizas todo alfombrado es controversial para los alergicos."
Hyatt Centric Montevideo,"Martinez, Argentina",December 2021,5,Amabilidad extrema del personal,"Un placer que el personal esté siempre atento a tus necesidades, que sea cordial y amable en todo momento y solucione todo con buena predisposición, ya sea en el Front Desk como en el restaurante, el servicio en la excelente piscina cubierta y climatizada que tienen."
Hyatt Centric Montevideo,"Martinez, Argentina",December 2021,5,Experiencia Positiva,"Es satisfatório cuando uno vuelve a un lugar donde ya estubo y es bien recebido. El servicio, la localización y las instalaciones son ideales para quien viaja a Montevideo. Vale la experiencia. Recomiendo"
Hyatt Centric Montevideo,"Martinez, Argentina",December 2021,2,Desayuno regular,El desatunoo deja mucho que desear. Pocos camareros para tanta gente. Se olvidan de traer los pedidos y cuando uno reclama miran con cara fea y llega frío. El jugo de naranja es aguado porque es de bidón. Me llama la atención para la calidad de este hotel que escatimen en eso. Ya reclamé anteriormente y nada cambió.
Hyatt Centric Montevideo,"Martinez, Argentina",November 2021,4,Muy buena,"Las instalaciones, decoracion y la predisposcion de los empleados a solucionar mis requerimientos fueron de los mejor. Mejoraria la calidad de los productos del desayuno que no estan acordes con la calidad del hotel"
Hyatt Centric Montevideo,"Martinez, Argentina",November 2021,5,Excelente. Muy disfrutable.,"Me encanto la piscina y el diseño en general. Las opciones de bar, café y el restaurante me parece muy buena con una grata convivencia. Mejoraría la cama, colchón y almohadas. Las habitaciones podrían tener una cafetera y el frigobar vacío es un poco triste."
Hyatt Centric Montevideo,"Martinez, Argentina",November 2021,5,excelente con todas las comodiades y precio justo,"Es un excelente hotel, con una estructura nueva, completa, moderna y amplia. Muy buenas opciones de gastronomia. Gimnasio nuevo y completo. Ideal para viaje de negocios . La atencion del personal es muy buena."
Hyatt Centric Montevideo,"Martinez, Argentina",November 2021,5,Hotel y personal agradable.,"El trato del personal fue excepcional. Las habitaciones nuevas, muy cuidadas y silenciosas, incluso la mia que estaba junto al ascensor. Juanjo al paseo marítimo, pero algo lejos de la zona antigua de Montevideo."
Hyatt Centric Montevideo,"Martinez, Argentina",October 2021,5,"BUena atencion, buenas instalaciones","Buena atencion del personal, impecable, habitaciones limpias, normales, nada exepcional, pero muy comodas. Fui por solo 2 noches, mi unica experiencia con la cocina no fue my feliz, pero eso no alcanza para calificarla."
Hyatt Centric Montevideo,"Martinez, Argentina",October 2021,5,Excelente,"Muy buena atención, todo el personal fue muy amable durante la estadía. Las habitaciones son grandes, cómodas y se estaban muy limpias. Increíble vista a la rambla desde la habitación. La comida muy rica, tanto el desayuno como el bar y restaurante. Muy recomendable"
