id,hotel_name,user,city,date,contrib,help_votes,question
2,Bellagio Las Vegas,henrypa,"Greensburg, Pennsylvania",Jun 2022,166,13,"Does the pool get so crowded that it is hard to find chairs together? Seeing if we need to rent a daybed, lounge chair etc."
3,Bellagio Las Vegas,Fat Barney,"Harrow, United Kingdom",Jun 2022,134,49,"Hi, where do you take breakfast if its included in the room rate? secondly is it a'la Carte or buffet?"
4,Bellagio Las Vegas,"Tommy, michelle , & boys","Glasgow, United Kingdom",May 2022,5,,Does the pool bar have a happy hour at all?
5,Bellagio Las Vegas,Curious439880,,May 2022,,,Where is the Pet Relief located? I'm traveling with with my small dog and staying in the main tower.
6,Bellagio Las Vegas,deep i,,May 2022,,,Is if possible to swim laps in any of the pools ? Are any 25 yards or longer ?
7,Bellagio Las Vegas,deep i,,May 2022,,,What view does Premier King or Premier Queen provide ?
8,Bellagio Las Vegas,Misshel1,Cheshire,May 2022,268,44,Hi do the queen rooms have a kettle? Thanks
9,Bellagio Las Vegas,Gezstenn,"London, United Kingdom",May 2022,2,1,Hi are pool towels provided please
10,Bellagio Las Vegas,Gigi R,,Apr 2022,,,What is the brand of the hair dryer and volts used in the bellagio hotel
11,Bellagio Las Vegas,"Tommy, michelle , & boys","Glasgow, United Kingdom",Apr 2022,5,,Do they search your bag going to the pool area?
12,Bellagio Las Vegas,Cody S,,Mar 2022,,,"Hi, I’m due to stay here for a week in may, what is the room deposit and is there a max to the deposit fee for the room?"
13,Bellagio Las Vegas,lisa,"Myrtle Beach, South Carolina",Mar 2022,,,I didnt park but it seemed safe thats near all the uber pick ups. We used a taxi one time and guy was rude we liked the ubers better.
14,Bellagio Las Vegas,lisa,"Myrtle Beach, South Carolina",Mar 2022,,,I didnt park but it seemed safe thats near all the uber pick ups. We used a taxi one time and guy was rude we liked the ubers better.
15,Bellagio Las Vegas,Traveller,"Lancashire, United Kingdom",Mar 2022,17,8,"In the 2 bedroom penthouse, can one kind bed be swapped for 2 queens/singles? Thanks."
16,Bellagio Las Vegas,Traveller,"Lancashire, United Kingdom",Mar 2022,17,8,"In the 2 bedroom penthouse, can one kind bed be swapped for 2 queens/singles? Thanks."
17,Bellagio Las Vegas,Lucy,Stourbridge,Feb 2022,61,15,How much is parking per night if you are stopping at the hotel?
18,Bellagio Las Vegas,Lucy,Stourbridge,Feb 2022,61,15,How much is parking per night if you’re stopping at the hotel?
19,Bellagio Las Vegas,Tommy C,,Jan 2022,,,Buenas quisiera saber si las reservaciones incluyen desayunos?
20,Bellagio Las Vegas,AMT1034,"Southend-on-Sea, United Kingdom",Jan 2022,15,20,Hi. Does anyone have an email I can contact use to contact the hotel about special requests? Thanks
21,Bellagio Las Vegas,Sightseer30822669037,,Jan 2022,1,1,Does this hotel accept discover cards?
22,Bellagio Las Vegas,BeauAmber B,,Dec 2021,,,Do the hairdryers there come with a diffuser? If not can i ask for one?
23,Bellagio Las Vegas,jadeb,"Doncaster, United Kingdom",Sep 2017,22,10,Going In June 2018 for partners 30th birthday is there anything they do for you or can you organise something for in the room x
24,Bellagio Las Vegas,fiasko82,"Phoenix, Arizona",Sep 2017,52,54,The accommodation I plan to book comes with VIP checkin at the chairmans lounge. Where is the Chairmans Lounge located with in the property?
25,Bellagio Las Vegas,Greyjoy100,,Sep 2017,293,56,Hi there! Does this hotel have heated pools? We're thinking about traveling to Vegas over Thanksgiving and I'd like to enjoy the pool when it's cooler
26,Bellagio Las Vegas,Joanne W,,Aug 2017,19,6,Hi are there any one bedroom penthouse corner suites with views of the fountain that can be smoked in?
27,Bellagio Las Vegas,publikaccess,"North Reading, Massachusetts",Aug 2017,,,What are the table game limits and slot machine denominations like at Bellagio?
